"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"94",5,983,32.768850302835,72.4982558783062,41.8734383393688,-88.0299615628606,392,507,-0.202544916830162,0.000222035073929553,7.35658673571665e-05,400,838,0,0,0,"bepridil",9
"95",6,899,30.2720352260485,72.4024610987445,41.8899151719072,-88.0320924848282,407,530,-0.187382461809765,0.00021878476866825,7.32555431814419e-05,412,855,0,0,0,"bepridil",9
"96",7,890,28.3003572221855,72.3036262737248,41.8831729326568,-88.0340488600214,420,552,-0.16859159571068,0.000215774348673337,7.29576957812765e-05,425,871,0,0,0,"bepridil",9
"97",8,985,26.7266470196968,72.2021223759232,41.8574022335008,-88.0358665098593,431,571,-0.153661973677004,0.000213006690121498,7.26758941950126e-05,437,887,0,0,0,"bepridil",9
"98",9,856,25.4608855313613,72.0988669840864,41.8192412919752,-88.0375676784819,442,588,-0.141505899797346,0.00021046146868509,7.24105645870149e-05,448,900,0,0,0,"bepridil",9
"99",10,906,24.4406837931205,71.9935337193341,41.7699802517853,-88.0391643857842,451,604,-0.131354175432837,0.000208122190947152,7.21612161657678e-05,459,914,0,0,0,"bepridil",9
"100",15,954,21.7260124869854,71.4461648569046,41.4258181302902,-88.0460546961931,489,667,-0.0975716441072423,0.00019887331770111,7.11286079416181e-05,507,969,0,0,0,"bepridil",9
"101",20,985,21.2308084729586,70.8749150600356,41.0017386964474,-88.0517787513788,517,712,-0.0788045295009625,0.000192458651023741,7.03658036529529e-05,543,1008,0,0,0,"bepridil",9
"102",25,992,21.8183874193726,70.2886445134177,40.5485016364389,-88.0567847820829,540,746,-0.0674953652172616,0.000187817672306916,6.97873790064792e-05,570,1037,0,0,0,"bepridil",9
"103",1,915,51.1336063378245,72.8662698129941,41.6776945450622,-88.0183466478954,305,380,-0.279060734343596,0.000239013680030388,7.4859131660405e-05,334,758,0,0,0,"bepridil",10
"104",2,939,42.6661387848252,72.8129090194491,41.7547572685906,-88.0216511038436,341,430,-0.24133691964453,0.000235950120968405,7.46782250560436e-05,356,783,0,0,0,"bepridil",10
"105",3,857,37.3367920399065,72.746244668011,41.9041912246074,-88.0244869540418,366,468,-0.22022617579939,0.000232291415322749,7.43838496440694e-05,374,806,0,0,0,"bepridil",10
"106",4,954,33.620542148157,72.6722314554049,41.9812532489671,-88.02697551201,386,499,-0.20614363556423,0.000228654607176688,7.40602949127782e-05,388,826,0,0,0,"bepridil",10
"107",5,814,30.8874162544257,72.5905936004857,42.0129973167721,-88.0291906825129,402,525,-0.192135126438411,0.000225233967175757,7.37385757870602e-05,402,845,0,0,0,"bepridil",10
"108",6,979,28.8087908743611,72.5044998730106,42.0145117437904,-88.0312063291063,416,547,-0.171075893556265,0.000222077354858463,7.34290739524374e-05,414,862,0,0,0,"bepridil",10
"109",7,1000,27.19709446933,72.4143937598174,41.9953473085785,-88.0330552536813,428,568,-0.154697744635812,0.000219189387158128,7.31369880033294e-05,425,878,0,0,0,"bepridil",10
"110",8,948,25.9314305151406,72.3205186381694,41.9605321939157,-88.0347775046964,439,586,-0.141531397423224,0.000216553238265049,7.2862633876452e-05,437,893,0,0,0,"bepridil",10
